Wall time,Step,Value
1711722859.930288,10000,-1.607018232345581
1711722979.3689654,20000,-1.0481833219528198
1711723094.0565283,30000,-0.9570774435997009
1711723209.4403737,40000,-1.083620309829712
1711723322.8263605,50000,-1.1559724807739258
1711723438.9548326,60000,-0.9395309686660767
1711723542.7615843,70000,-0.6881434917449951
1711723654.577537,80000,-0.7762617468833923
1711723771.811806,90000,-0.7295541763305664
1711723884.3158436,100000,-0.832138180732727
1711724000.0312169,110000,-0.6881768107414246
1711724107.2849689,120000,-0.3643748164176941
1711724219.475891,130000,-0.63690584897995
1711724329.0727072,140000,-0.453927606344223
1711724443.1590645,150000,-0.4573800265789032
1711724551.359052,160000,-0.6932074427604675
1711724664.4483097,170000,-0.329611212015152
1711724779.1631393,180000,-0.31976282596588135
1711724889.3364444,190000,-0.4096827507019043
1711725000.8264344,200000,-0.5108914375305176
1711725110.4938493,210000,-0.3636459708213806
1711725224.3468897,220000,-0.36499130725860596
1711725336.9273186,230000,-0.2050815373659134
1711725449.6608953,240000,-0.23731285333633423
1711725560.3931143,250000,-0.2655014991760254
1711725673.178138,260000,-0.28756484389305115
1711725787.219642,270000,-0.24183529615402222
1711725895.1237476,280000,-0.10205109417438507
1711726010.2561436,290000,-0.4805569648742676
1711726116.36882,300000,-0.13268998265266418
1711726229.893219,310000,-0.12430953234434128
1711726341.2383428,320000,-0.07080727815628052
1711726452.3390045,330000,-0.12290408462285995
1711726567.4709253,340000,-0.1781109869480133
1711726671.6389363,350000,-0.05439388379454613
1711726786.9366195,360000,-0.15130935609340668
1711726899.6750922,370000,-0.11506165564060211
1711727011.2679994,380000,-0.1228133887052536
1711727119.0584185,390000,-0.06243901327252388
1711727227.8284147,400000,-0.11529837548732758
1711727341.9821866,410000,-0.11944200843572617
1711727505.5767064,420000,0.0047202035784721375
1711727633.1446931,430000,-0.27357378602027893
1711727738.7001305,440000,-0.12012763321399689
1711727856.9943578,450000,-0.24288839101791382
1711727965.3815498,460000,-0.19401197135448456
1711728079.6157374,470000,-0.006619876716285944
1711728187.8818703,480000,-0.015046448446810246
1711728297.5845494,490000,0.15987274050712585
1711728414.598818,500000,0.10803327709436417
1711728525.2499907,510000,0.09694045037031174
1711728642.4877703,520000,-0.06279772520065308
1711728745.6373453,530000,-0.13308647274971008
1711728861.2657185,540000,-0.01597663387656212
1711728977.3467278,550000,-0.061493001878261566
1711729087.2592084,560000,0.12510046362876892
1711729193.7591505,570000,0.29636865854263306
1711729306.9881282,580000,0.11724592000246048
1711729416.4680793,590000,0.01636539027094841
1711729528.1331894,600000,0.24016575515270233
1711729633.7509334,610000,0.09586212038993835
1711729746.6302884,620000,0.11807966232299805
1711729858.8761892,630000,0.17609894275665283
1711729974.0148382,640000,0.11594667285680771
1711730083.8147929,650000,0.25594714283943176
1711730195.7027404,660000,0.1715496927499771
1711730302.3639724,670000,0.32236841320991516
1711730418.479989,680000,0.12976783514022827
1711730531.829788,690000,0.2635268568992615
1711730643.1439056,700000,0.32204562425613403
1711730757.0916653,710000,0.06697697192430496
1711730863.8647153,720000,0.2841837704181671
1711730976.507068,730000,0.49966445565223694
1711731089.3100471,740000,0.08740797638893127
1711731200.4175649,750000,0.5729483962059021
1711731316.3499947,760000,0.476404070854187
1711731427.5515141,770000,0.31093737483024597
1711731543.9167824,780000,0.6221849322319031
1711731652.8114314,790000,0.3237319886684418
1711731770.4243486,800000,0.2899421155452728
1711731889.218871,810000,0.437118798494339
1711732002.412548,820000,0.36816084384918213
1711732120.298871,830000,0.6599465012550354
1711732235.2192316,840000,0.6147054433822632
1711732352.2803211,850000,0.6075823307037354
1711732463.5775273,860000,0.5896248817443848
1711732574.918539,870000,0.4632306694984436
1711732690.1429925,880000,0.6052056550979614
1711732801.0348985,890000,0.5863134860992432
1711732915.683852,900000,0.5301406979560852
1711733024.888223,910000,0.7563464045524597
1711733134.966424,920000,0.48626428842544556
1711733246.9068582,930000,0.4141601622104645
1711733358.2607174,940000,0.5976018309593201
1711733474.173113,950000,0.7103723287582397
1711733579.5409644,960000,0.8547388911247253
1711733693.635674,970000,0.6589091420173645
1711733802.782835,980000,0.7654539942741394
1711733914.6188154,990000,0.6344048976898193
1711734025.3755784,1000000,0.9353593587875366
1711734136.3232331,1010000,0.562171995639801
1711734261.741993,1020000,0.31851711869239807
1711734365.0556364,1030000,0.5384270548820496
1711734479.349249,1040000,0.8904895782470703
1711734589.5648649,1050000,0.8168840408325195
1711734696.6063201,1060000,0.8846278190612793
1711734806.240852,1070000,0.6871116757392883
1711734912.562524,1080000,0.9703795313835144
1711735018.2514498,1090000,0.9238799810409546
1711735129.917806,1100000,0.8106201887130737
1711735235.6526203,1110000,0.8715193867683411
1711735350.4331365,1120000,0.9795348644256592
1711735453.8385954,1130000,1.0484368801116943
1711735562.1082804,1140000,0.8390929102897644
1711735674.1378407,1150000,1.0781711339950562
1711735780.6032481,1160000,1.090497612953186
1711735897.6476207,1170000,1.054587721824646
1711736005.8482435,1180000,1.0780144929885864
1711736115.4566615,1190000,0.8230717182159424
1711736218.2507997,1200000,1.2053834199905396
1711736329.2603986,1210000,1.0807067155838013
1711736437.8514853,1220000,0.833884060382843
1711736541.0244112,1230000,1.081051230430603
1711736652.384657,1240000,0.9411357641220093
1711736756.6169157,1250000,0.9558256268501282
1711736862.756276,1260000,0.8361313939094543
1711736973.7882953,1270000,1.2343648672103882
1711737081.1707242,1280000,1.0006760358810425
1711737188.685039,1290000,0.942347526550293
