Wall time,Step,Value
1711703812.074232,20000,0.19989721477031708
1711703912.5288072,30000,0.19979384541511536
1711704023.773274,40000,0.1996903270483017
1711704123.415257,50000,0.19958682358264923
1711704224.7472954,60000,0.19948427379131317
1711704331.154381,70000,0.1993812918663025
1711704432.3333719,80000,0.19927828013896942
1711704539.9222717,90000,0.19917546212673187
1711704640.6871674,100000,0.1990727335214615
1711704746.596842,110000,0.19896982610225677
1711704855.4030876,120000,0.19886718690395355
1711704960.9756145,130000,0.19876466691493988
1711705058.7395856,140000,0.19866172969341278
1711705162.0238142,150000,0.19855867326259613
1711705267.0045748,160000,0.19845576584339142
1711705368.335277,170000,0.19835282862186432
1711705475.1120343,180000,0.19824980199337006
1711705570.07159,190000,0.1981465071439743
1711705679.7054446,200000,0.19804292917251587
1711705782.1136074,210000,0.19794021546840668
1711705889.9011517,220000,0.197837695479393
1711705996.7481866,230000,0.19773435592651367
1711706102.5862315,240000,0.1976318359375
1711706214.4715843,250000,0.1975293606519699
1711706313.0095282,260000,0.19742679595947266
1711706422.2269547,270000,0.1973242163658142
1711706529.4915578,280000,0.19722138345241547
1711706632.2235887,290000,0.1971183568239212
1711706733.4562428,300000,0.197015643119812
1711706842.8968315,310000,0.1969131976366043
1711706945.7357287,320000,0.19681018590927124
1711707048.0479605,330000,0.19670738279819489
1711707153.4730952,340000,0.19660454988479614
1711707254.8730767,350000,0.19650189578533173
1711707466.311933,370000,0.19639898836612701
1711707566.9037917,380000,0.19629627466201782
1711707669.0308423,390000,0.196193665266037
1711707778.2637436,400000,0.19609083235263824
1711707876.225155,410000,0.19598834216594696
1711707979.5829155,420000,0.19588583707809448
1711708088.2167225,430000,0.19578297436237335
1711708187.392593,440000,0.19568003714084625
1711708291.02352,450000,0.19557607173919678
1711708396.5512123,460000,0.19547343254089355
1711708497.3525803,470000,0.19537055492401123
1711708602.1996033,480000,0.19526757299900055
1711708702.991113,490000,0.19516505300998688
1711708811.1759632,500000,0.19506238400936127
1711708912.8526988,510000,0.19495971500873566
1711709014.2311306,520000,0.19485712051391602
1711709120.7755678,530000,0.19475454092025757
1711709219.6013548,540000,0.19465172290802002
1711709327.7456203,550000,0.19454894959926605
1711709430.0320191,560000,0.19444650411605835
1711709530.847712,570000,0.1943434774875641
1711709637.4186006,580000,0.19424055516719818
1711709741.494129,590000,0.19413776695728302
1711709841.0843866,600000,0.19403520226478577
1711709946.2166564,610000,0.19393177330493927
1711710049.8948412,620000,0.1938287764787674
1711710150.4906664,630000,0.19372616708278656
1711710260.2078485,640000,0.19362354278564453
1711710363.5213592,650000,0.19352063536643982
1711710467.704482,660000,0.1934177726507187
1711710568.6042292,670000,0.19331519305706024
1711710670.327904,680000,0.1932126134634018
1711710778.9561758,690000,0.19310998916625977
1711710877.1801407,700000,0.19300653040409088
1711710983.3575935,710000,0.19290299713611603
1711711090.509829,720000,0.19280019402503967
1711711291.5651455,740000,0.1926976442337036
1711711396.1573446,750000,0.19259461760520935
1711711498.817576,760000,0.1924918293952942
1711711605.9278135,770000,0.19238893687725067
1711711708.7482507,780000,0.19228637218475342
1711711811.9795294,790000,0.19218377768993378
1711711917.045964,800000,0.19208113849163055
1711712019.7033415,810000,0.19197846949100494
1711712122.474773,820000,0.19187572598457336
1711712227.0871847,830000,0.19177262485027313
1711712330.5576444,840000,0.19166983664035797
1711712435.2757835,850000,0.19156719744205475
1711712719.5941954,870000,0.19139279425144196
1711712828.2759404,880000,0.19129015505313873
1711712934.2831433,890000,0.1911875456571579
1711713038.0961585,900000,0.19108471274375916
1711713140.2873805,910000,0.19098219275474548
1711713245.038732,920000,0.1908797174692154
1711713349.930582,930000,0.19077728688716888
1711713455.391631,940000,0.1906745433807373
1711713553.8265133,950000,0.19057117402553558
1711713661.4999387,960000,0.19046847522258759
1711713762.250311,970000,0.19036582112312317
1711713865.8765156,980000,0.19026319682598114
