Wall time,Step,Value
1712927591.5218475,10000,-2.5625
1712927648.4371471,20000,-6.735483646392822
1712927703.9634278,30000,-10.422078132629395
1712927760.671588,40000,-14.048484802246094
1712927816.820578,50000,-18.617284774780273
1712927873.4579685,60000,-21.972972869873047
1712927929.7401702,70000,-23.944828033447266
1712927985.8135216,80000,-26.121429443359375
1712928042.2290268,90000,-27.636363983154297
1712928098.5454519,100000,-29.829931259155273
1712928153.398431,110000,-31.086956024169922
1712928211.2880135,120000,-32.950355529785156
1712928266.8984919,130000,-34.575538635253906
1712928327.2148874,140000,-36.80986022949219
1712928386.470677,150000,-36.709922790527344
1712928442.0941167,160000,-38.411346435546875
1712928499.502601,170000,-39.896297454833984
1712928554.8955054,180000,-41.00751876831055
1712928610.5845819,190000,-42.16428756713867
1712928668.3005648,200000,-42.529850006103516
1712928725.4633803,210000,-43.41843795776367
1712928779.7429345,220000,-43.819549560546875
1712928836.766186,230000,-45.719425201416016
1712928894.1869252,240000,-45.574466705322266
1712928949.0993376,250000,-46.31007766723633
1712929005.9485562,260000,-47.56737518310547
1712929063.0677695,270000,-46.69629669189453
1712929119.742166,280000,-50.27659606933594
1712929175.6677392,290000,-50.592594146728516
1712929230.4574206,300000,-50.963504791259766
1712929287.682644,310000,-50.157894134521484
1712929342.171487,320000,-52.59420394897461
1712929398.5263877,330000,-51.86259460449219
1712929452.78525,340000,-52.970802307128906
1712929509.5631166,350000,-54.20567321777344
1712929563.8453662,360000,-54.721805572509766
1712929620.3593323,370000,-53.7835807800293
1712929675.4553106,380000,-57.0
1712929735.6712625,390000,-58.28873062133789
1712929791.3194005,400000,-59.90277862548828
1712929848.1939964,410000,-57.42758560180664
1712929904.348547,420000,-59.197181701660156
1712929961.1924288,430000,-58.944828033447266
1712930017.8379977,440000,-61.344825744628906
1712930073.831549,450000,-61.228572845458984
1712930128.966987,460000,-61.63503646850586
1712930184.3360577,470000,-63.43356704711914
1712930241.8286777,480000,-62.88571548461914
1712930300.6738355,490000,-63.31034469604492
1712930359.0664277,500000,-64.15972137451172
1712930414.845741,510000,-63.60283660888672
1712930471.689564,520000,-66.39160919189453
1712930527.4322608,530000,-65.04762268066406
1712930585.3222356,540000,-69.66666412353516
1712930641.5139115,550000,-66.6956558227539
1712930698.310335,560000,-65.70833587646484
1712930753.099765,570000,-67.08219146728516
1712930808.818284,580000,-67.39130401611328
1712930867.7177544,590000,-67.84827423095703
1712930929.806987,600000,-66.97887420654297
1712930992.097402,610000,-69.94666290283203
1712931051.6101227,620000,-69.26000213623047
1712931111.8717933,630000,-69.41216278076172
1712931169.611528,640000,-71.6413803100586
