Wall time,Step,Value
1712929205.4013422,10000,3.4155843257904053
1712929236.7074583,20000,10.887324333190918
1712929267.4978924,30000,18.028169631958008
1712929299.4303577,40000,25.125873565673828
1712929329.9924212,50000,32.33571243286133
1712929360.9626675,60000,39.53845977783203
1712929391.8399434,70000,46.93877410888672
1712929422.982101,80000,54.557823181152344
1712929453.0584397,90000,61.41721725463867
1712929483.8398926,100000,69.07041931152344
1712929514.225873,110000,76.3862075805664
1712929544.4370937,120000,83.62584686279297
1712929574.4778316,130000,90.97972869873047
1712929605.5579486,140000,98.31034851074219
1712929635.959199,150000,106.10738372802734
1712929666.176583,160000,112.7957763671875
1712929696.3512447,170000,120.81118774414062
1712929726.9910703,180000,127.13433074951172
1712929758.3644588,190000,133.82269287109375
1712929789.7956219,200000,141.7058868408203
1712929820.8063097,210000,147.18045043945312
1712929853.0931287,220000,153.9130401611328
1712929884.0259938,230000,160.61363220214844
1712929914.0655267,240000,167.54135131835938
1712929944.6263444,250000,173.75384521484375
1712929976.0796418,260000,181.1492462158203
1712930006.7470098,270000,186.8503875732422
1712930036.9983962,280000,193.4740753173828
1712930068.2910252,290000,200.6511688232422
1712930098.7780058,300000,206.66165161132812
1712930129.0408068,310000,213.76470947265625
1712930159.9424324,320000,220.68702697753906
1712930190.5607476,330000,226.64122009277344
1712930221.0095057,340000,233.13076782226562
1712930251.5780845,350000,239.6904754638672
1712930282.0470803,360000,246.3357696533203
1712930312.831284,370000,252.81817626953125
1712930341.4622104,380000,259.0155029296875
1712930371.9957829,390000,265.94488525390625
1712930402.8258028,400000,272.3282470703125
1712930433.2239854,410000,279.48870849609375
1712930464.1370063,420000,285.7984924316406
1712930494.7294707,430000,292.68939208984375
1712930525.4448075,440000,299.031005859375
1712930556.7538807,450000,305.0150451660156
1712930587.9447744,460000,312.3100891113281
1712930619.0809493,470000,318.757568359375
1712930648.7458572,480000,325.5078125
1712930678.7095156,490000,331.9280700683594
1712930710.1871815,500000,339.2611999511719
1712930743.355046,510000,345.3484802246094
1712930773.6794324,520000,352.7132263183594
1712930804.9043539,530000,359.8489074707031
1712930835.7478833,540000,366.8500061035156
1712930867.2603958,550000,373.6083984375
1712930897.6872325,560000,380.5777893066406
1712930928.0911775,570000,387.89208984375
1712930958.42044,580000,394.097900390625
1712930988.2198734,590000,402.0579833984375
1712931018.9105139,600000,408.78619384765625
1712931050.2013505,610000,415.6376953125
1712931080.0691662,620000,422.0666809082031
1712931110.7637672,630000,428.7602844238281
1712931141.2512085,640000,436.3513488769531
1712931171.6674104,650000,444.4233703613281
1712931200.9812076,660000,449.94964599609375
1712931231.2533488,670000,458.0208435058594
1712931261.7513022,680000,467.0279846191406
1712931292.1643565,690000,472.78082275390625
1712931323.6126504,700000,480.6054382324219
1712931354.0028937,710000,486.9127502441406
1712931383.5896435,720000,496.3098449707031
1712931414.184871,730000,502.5947570800781
1712931445.0639074,740000,510.9610290527344
1712931474.7955139,750000,517.9865112304688
1712931503.0166898,760000,525.0576782226562
1712931533.3973715,770000,532.3446044921875
1712931564.2827744,780000,540.5806274414062
1712931594.8340213,790000,548.9342041015625
1712931624.344837,800000,554.8441772460938
1712931655.1295912,810000,565.954833984375
