Wall time,Step,Value
1714213857.8160298,10000,6.757575988769531
1714213924.5115457,20000,20.28636360168457
1714213988.1715415,30000,33.909908294677734
1714214064.5233955,40000,47.842796325683594
1714214137.200235,50000,60.91509246826172
1714214201.3853848,60000,74.65217590332031
1714214269.7352633,70000,88.53023529052734
1714214336.631482,80000,101.30331420898438
1714214404.301878,90000,114.36492919921875
1714214482.0292668,100000,127.38679504394531
1714214561.3093243,110000,140.57870483398438
1714214634.5943131,120000,154.036865234375
1714214717.6384864,130000,166.82325744628906
1714214790.8089988,140000,180.04286193847656
1714214867.0772278,150000,192.77102661132812
1714214959.6610768,160000,205.63768005371094
1714215042.9445343,170000,218.71066284179688
1714215115.0802474,180000,231.43055725097656
1714215208.723607,190000,217.3119659423828
1714215274.046064,200000,200.3302764892578
1714215378.5830767,210000,216.37557983398438
1714215446.0635436,220000,222.66018676757812
1714215536.6149132,230000,227.74575805664062
