Wall time,Step,Value
1714213857.821357,10000,-0.6985760927200317
1714213924.5005946,20000,-0.7564991116523743
1714213988.176055,30000,-0.8043904900550842
1714214064.5273974,40000,-0.8444724678993225
1714214137.1885161,50000,-0.6258953213691711
1714214201.3904312,60000,-0.8299028277397156
1714214269.739774,70000,-0.5980416536331177
1714214336.6164038,80000,-0.808293342590332
1714214404.3068793,90000,-0.5198570489883423
1714214482.012099,100000,-0.7303120493888855
1714214561.3139184,110000,-0.754996657371521
1714214634.600866,120000,-0.6811813116073608
1714214717.6414862,130000,-0.6865488886833191
1714214790.812,140000,-0.7049160599708557
1714214867.0812275,150000,-0.6694384813308716
1714214959.6660833,160000,-0.6979535818099976
1714215042.947423,170000,-0.5086116790771484
1714215115.0706818,180000,-0.6690127849578857
1714215208.7266161,190000,-0.7166059613227844
1714215274.0511248,200000,-0.6789929866790771
1714215378.5876167,210000,-0.6100866794586182
1714215446.0684674,220000,-0.5964871048927307
1714215536.6179757,230000,-0.7374273538589478
